pdbTM,best_tm_score,best_bb_rmsd,radius_of_gyration,design_name,pdb_file,non_coil_percent,coil_percent,helix_percent,strand_percent
0.587,0.276116435,13.7398824,1.49733741,n_100_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise060/n_100_id_0/n_100_id_0.pdb,0.59,0.41,0.59,0
0.534,0.267342097,12.16508397,1.497405947,n_100_id_1,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise060/n_100_id_1/n_100_id_1.pdb,0.48,0.52,0.36,0.12
0.656,0.290816656,11.8813917,1.349772427,n_100_id_2,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise060/n_100_id_2/n_100_id_2.pdb,0.64,0.36,0.5,0.14
0.688,0.372671758,16.48828637,1.656410472,n_100_id_3,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise060/n_100_id_3/n_100_id_3.pdb,0.87,0.13,0.87,0
0.714,0.306997222,13.46411328,1.280936739,n_100_id_4,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise060/n_100_id_4/n_100_id_4.pdb,0.77,0.23,0.77,0
0.572,0.28468527,11.01103508,1.237095077,n_100_id_5,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise060/n_100_id_5/n_100_id_5.pdb,0.79,0.21,0.79,0
0.635,0.32717642,13.43184078,1.299604505,n_100_id_6,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise060/n_100_id_6/n_100_id_6.pdb,0.73,0.27,0.73,0
0.747,0.354221604,12.67601713,1.317598741,n_100_id_7,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise060/n_100_id_7/n_100_id_7.pdb,0.82,0.18,0.82,0
0.744,0.288745089,13.76158921,1.638325586,n_100_id_8,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise060/n_100_id_8/n_100_id_8.pdb,0.89,0.11,0.89,0
0.717,0.283006939,12.57488748,1.349810111,n_100_id_9,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise060/n_100_id_9/n_100_id_9.pdb,0.63,0.37,0.44,0.19
0.695,0.290578247,12.17911843,1.323624139,n_101_id_0,/home/carlosc6/CS598-GBL/protein/proteina_inference/inference_ucond_200m_notri_sc_noise060/n_101_id_0/n_101_id_0.pdb,0.811881188,0.188118812,0.811881188,0
